Año(aaaa)-Trimestre(t);Orden del país; País;Unidad multiplicadora;Moneda (USD);Valor
2011-3;21;Chipre;Millones;Dólar estadounidense;0,857270942
2011-3;22;Costa Rica;Millones;Dólar estadounidense;4,558857199
2011-3;23;Cuba;Millones;Dólar estadounidense;0
2011-3;24;Curazao;Millones;Dólar estadounidense;0,187335126
2011-3;25;Dinamarca;Millones;Dólar estadounidense;0,423927148
2011-3;26;Ecuador;Millones;Dólar estadounidense;14,97647266
2011-3;27;El Salvador;Millones;Dólar estadounidense;0,20673116
2011-3;28;Escocia;Millones;Dólar estadounidense;0
2011-3;29;España;Millones;Dólar estadounidense;168,3387526
2011-3;30;Estados Unidos;Millones;Dólar estadounidense;628,7573668
2011-3;31;Finlandia;Millones;Dólar estadounidense;0
2011-3;32;Francia;Millones;Dólar estadounidense;36,96344674
2011-3;33;Gibraltar;Millones;Dólar estadounidense;0
2011-3;34;Grecia;Millones;Dólar estadounidense;0,042
2011-3;35;Guatemala;Millones;Dólar estadounidense;0,2535204
2011-3;36;Honduras;Millones;Dólar estadounidense;0,033
2011-3;37;Hong Kong;Millones;Dólar estadounidense;1,55888
2011-3;38;Hungría;Millones;Dólar estadounidense;0
2011-3;39;Islas Caimán;Millones;Dólar estadounidense;87,30071075
2011-3;40;Islas Vírgenes Británicas;Millones;Dólar estadounidense;38,86027551
2011-3;41;India;Millones;Dólar estadounidense;0,217940582
2011-3;42;Inglaterra;Millones;Dólar estadounidense;341,4631962
2011-3;44;Irán;Millones;Dólar estadounidense;0
2011-3;45;Irlanda?;Millones;Dólar estadounidense;-5,555393996
2011-3;46;Isla de Man;Millones;Dólar estadounidense;0
2011-3;47;Israel;Millones;Dólar estadounidense;0,509467736
2011-3;48;Italia;Millones;Dólar estadounidense;7,426500056
2011-3;49;Japón;Millones;Dólar estadounidense;13,44222889
2011-3;50;Jordania;Millones;Dólar estadounidense;0
2011-3;51;Kuwait;Millones;Dólar estadounidense;0
2011-3;52;Líbano;Millones;Dólar estadounidense;0
2011-3;53;Liberia;Millones;Dólar estadounidense;0
2011-3;54;Liechtenstein;Millones;Dólar estadounidense;0
2011-3;55;Lituania;Millones;Dólar estadounidense;0
2011-3;56;Luxemburgo;Millones;Dólar estadounidense;29,4703458
2011-3;57;Malasia;Millones;Dólar estadounidense;0,36426336
2011-3;58;México;Millones;Dólar estadounidense;151,7741662
2011-3;59;Nicaragua;Millones;Dólar estadounidense;0
2011-3;60;Noruega;Millones;Dólar estadounidense;8,617998698
2011-3;61;Nueva Zelanda;Millones;Dólar estadounidense;0
2011-3;62;Países Bajos;Millones;Dólar estadounidense;812,6564036
2011-3;63;Panamá;Millones;Dólar estadounidense;730,8969775
2011-3;64;Paraguay;Millones;Dólar estadounidense;0,1495
2011-3;65;Perú;Millones;Dólar estadounidense;18,35388761
2011-3;66;Portugal;Millones;Dólar estadounidense;-2,707052232
2011-3;67;Puerto Rico;Millones;Dólar estadounidense;2,838252
2011-3;69;República Dominicana;Millones;Dólar estadounidense;-4,981896007
2011-3;70;Singapur;Millones;Dólar estadounidense;-4,510850451
2011-3;71;Sri Lanka;Millones;Dólar estadounidense;0
2011-3;72;Suecia;Millones;Dólar estadounidense;8,060925574
2011-3;73;Suiza;Millones;Dólar estadounidense;185,8919109
2011-3;74;Sudáfrica;Millones;Dólar estadounidense;0
2011-3;75;Tailandia;Millones;Dólar estadounidense;0
2011-3;76;Taiwán;Millones;Dólar estadounidense;0
2011-3;77;Ucrania;Millones;Dólar estadounidense;0
2011-3;78;Uruguay;Millones;Dólar estadounidense;12,93276769
2011-3;79;Venezuela;Millones;Dólar estadounidense;8,468417034
2011-3;81;Otros Países;Millones;Dólar estadounidense;-0,832091906
2011-3;82;Total paises;Millones;Dólar estadounidense;3776,365903
2011-4;1;Afganistán;Millones;Dólar estadounidense;0
2011-4;2;Albania;Millones;Dólar estadounidense;0
2011-4;3;Alemania;Millones;Dólar estadounidense;30,28406059
2011-4;4;Anguilla;Millones;Dólar estadounidense;186,7867974
2011-4;5;Antillas Holandesas;Millones;Dólar estadounidense;-0,935924714
2011-4;6;Argentina;Millones;Dólar estadounidense;52,02111755
2011-4;7;Aruba;Millones;Dólar estadounidense;-2,129356688
2011-4;8;Australia;Millones;Dólar estadounidense;3,231363368
2011-4;9;Austria;Millones;Dólar estadounidense;14,95246007
2011-4;10;Bahamas;Millones;Dólar estadounidense;10,18044037
2011-4;11;Barbados;Millones;Dólar estadounidense;114,1182363
2011-4;12;Bélgica;Millones;Dólar estadounidense;5,781091683
2011-4;13;Belice;Millones;Dólar estadounidense;0,14717024
2011-4;14;Bermudas;Millones;Dólar estadounidense;188,9254495
2011-4;15;Bolivia;Millones;Dólar estadounidense;0,3726575
2011-4;16;Brasil;Millones;Dólar estadounidense;126,946151
2011-4;17;Canadá;Millones;Dólar estadounidense;58,61986689
2011-4;18;Chile;Millones;Dólar estadounidense;383,5922667
2011-4;19;China;Millones;Dólar estadounidense;4,180561533
2011-4;20;Corea del Sur;Millones;Dólar estadounidense;7,29442395
2011-4;21;Chipre;Millones;Dólar estadounidense;0,641571286
2011-4;22;Costa Rica;Millones;Dólar estadounidense;2,690942827
2011-4;23;Cuba;Millones;Dólar estadounidense;0
2011-4;24;Curazao;Millones;Dólar estadounidense;-0,176273727
2011-4;25;Dinamarca;Millones;Dólar estadounidense;0,532375232
2011-4;26;Ecuador;Millones;Dólar estadounidense;13,81227893
2011-4;27;El Salvador;Millones;Dólar estadounidense;0,23989139
2011-4;28;Escocia;Millones;Dólar estadounidense;0
2011-4;29;España;Millones;Dólar estadounidense;255,6184416
2011-4;30;Estados Unidos;Millones;Dólar estadounidense;627,2970676
2011-4;31;Finlandia;Millones;Dólar estadounidense;0
2011-4;32;Francia;Millones;Dólar estadounidense;64,2417636
2011-4;33;Gibraltar;Millones;Dólar estadounidense;0,249968
2011-4;34;Grecia;Millones;Dólar estadounidense;0
2011-4;35;Guatemala;Millones;Dólar estadounidense;0,73875781
2011-4;36;Honduras;Millones;Dólar estadounidense;0,0369
2011-4;37;Hong Kong;Millones;Dólar estadounidense;0,10193878
2011-4;38;Hungría;Millones;Dólar estadounidense;0
2011-4;39;Islas Caimán;Millones;Dólar estadounidense;114,8789031
2011-4;40;Islas Vírgenes Británicas;Millones;Dólar estadounidense;-212,9213176
2011-4;41;India;Millones;Dólar estadounidense;0,598133759
2011-4;42;Inglaterra;Millones;Dólar estadounidense;412,7202832
2011-4;44;Irán;Millones;Dólar estadounidense;0
2011-4;45;Irlanda?;Millones;Dólar estadounidense;-0,142351372
2011-4;46;Isla de Man;Millones;Dólar estadounidense;0
2011-4;47;Israel;Millones;Dólar estadounidense;0,355144641
2011-4;48;Italia;Millones;Dólar estadounidense;11,75579621
2011-4;49;Japón;Millones;Dólar estadounidense;11,38220571
2011-4;50;Jordania;Millones;Dólar estadounidense;0
2011-4;51;Kuwait;Millones;Dólar estadounidense;0
2011-4;52;Líbano;Millones;Dólar estadounidense;0
2011-4;53;Liberia;Millones;Dólar estadounidense;0
2011-4;54;Liechtenstein;Millones;Dólar estadounidense;0
2011-4;55;Lituania;Millones;Dólar estadounidense;0
2011-4;56;Luxemburgo;Millones;Dólar estadounidense;38,45846772
2011-4;57;Malasia;Millones;Dólar estadounidense;0,10424433
2011-4;58;México;Millones;Dólar estadounidense;121,5837392
2011-4;59;Nicaragua;Millones;Dólar estadounidense;0
2011-4;60;Noruega;Millones;Dólar estadounidense;3,097254157
2011-4;61;Nueva Zelanda;Millones;Dólar estadounidense;0
2011-4;62;Países Bajos;Millones;Dólar estadounidense;133,7352723
2011-4;63;Panamá;Millones;Dólar estadounidense;1567,457286
2011-4;64;Paraguay;Millones;Dólar estadounidense;0,1075
2011-4;65;Perú;Millones;Dólar estadounidense;32,15071381
2011-4;66;Portugal;Millones;Dólar estadounidense;0,264516262
2011-4;67;Puerto Rico;Millones;Dólar estadounidense;14,63511179
2011-4;69;República Dominicana;Millones;Dólar estadounidense;0,200487325
2011-4;70;Singapur;Millones;Dólar estadounidense;-4,239694314
2011-4;71;Sri Lanka;Millones;Dólar estadounidense;0
2011-4;72;Suecia;Millones;Dólar estadounidense;-250,5756612
2011-4;73;Suiza;Millones;Dólar estadounidense;505,3870503
2011-4;74;Sudáfrica;Millones;Dólar estadounidense;0
2011-4;75;Tailandia;Millones;Dólar estadounidense;0
2011-4;76;Taiwán;Millones;Dólar estadounidense;0
2011-4;77;Ucrania;Millones;Dólar estadounidense;0
2011-4;78;Uruguay;Millones;Dólar estadounidense;3,376826521
2011-4;79;Venezuela;Millones;Dólar estadounidense;9,769565943
2011-4;81;Otros Países;Millones;Dólar estadounidense;-17,17271909
2011-4;82;Total paises;Millones;Dólar estadounidense;4653,666575
2012-1;1;Afganistán;Millones;Dólar estadounidense;0
2012-1;2;Albania;Millones;Dólar estadounidense;0
2012-1;3;Alemania;Millones;Dólar estadounidense;21,70819194
2012-1;4;Anguilla;Millones;Dólar estadounidense;105,7874168
2012-1;5;Antillas Holandesas;Millones;Dólar estadounidense;0,393794669
2012-1;6;Argentina;Millones;Dólar estadounidense;-0,241340768
2012-1;7;Aruba;Millones;Dólar estadounidense;1,669981602
2012-1;8;Australia;Millones;Dólar estadounidense;3,124482054
2012-1;9;Austria;Millones;Dólar estadounidense;37,08588938
2012-1;10;Bahamas;Millones;Dólar estadounidense;5,963777947
2012-1;11;Barbados;Millones;Dólar estadounidense;69,33095401
2012-1;12;Bélgica;Millones;Dólar estadounidense;3,579701517
2012-1;13;Belice;Millones;Dólar estadounidense;2,46991
2012-1;14;Bermudas;Millones;Dólar estadounidense;354,7485597
2012-1;15;Bolivia;Millones;Dólar estadounidense;0,71729
2012-1;16;Brasil;Millones;Dólar estadounidense;47,96136959
2012-1;17;Canadá;Millones;Dólar estadounidense;70,01789211
2012-1;18;Chile;Millones;Dólar estadounidense;333,6399906
2012-1;19;China;Millones;Dólar estadounidense;8,942436304
2012-1;20;Corea del Sur;Millones;Dólar estadounidense;11,49173929
2012-1;21;Chipre;Millones;Dólar estadounidense;3,707680785
2012-1;22;Costa Rica;Millones;Dólar estadounidense;6,701695729
2012-1;23;Cuba;Millones;Dólar estadounidense;0
2012-1;24;Curazao;Millones;Dólar estadounidense;1,743523384
2012-1;25;Dinamarca;Millones;Dólar estadounidense;5,988529544
2012-1;26;Ecuador;Millones;Dólar estadounidense;20,40196009
2012-1;27;El Salvador;Millones;Dólar estadounidense;0,25706655
2012-1;28;Escocia;Millones;Dólar estadounidense;0
2012-1;29;España;Millones;Dólar estadounidense;251,2114698
2012-1;30;Estados Unidos;Millones;Dólar estadounidense;486,3527729
2012-1;31;Finlandia;Millones;Dólar estadounidense;0
2012-1;32;Francia;Millones;Dólar estadounidense;72,54071234
2012-1;33;Gibraltar;Millones;Dólar estadounidense;0
2012-1;34;Grecia;Millones;Dólar estadounidense;0,04484223
2012-1;35;Guatemala;Millones;Dólar estadounidense;0,84378296
2012-1;36;Honduras;Millones;Dólar estadounidense;0,145
2012-1;37;Hong Kong;Millones;Dólar estadounidense;0,809895
2012-1;38;Hungría;Millones;Dólar estadounidense;0
2012-1;39;Islas Caimán;Millones;Dólar estadounidense;73,67631302
2012-1;40;Islas Vírgenes Británicas;Millones;Dólar estadounidense;74,47065407
2012-1;41;India;Millones;Dólar estadounidense;0,533082155
2012-1;42;Inglaterra;Millones;Dólar estadounidense;284,9281459
2012-1;44;Irán;Millones;Dólar estadounidense;0
2012-1;45;Irlanda?;Millones;Dólar estadounidense;0,483656254
2012-1;46;Isla de Man;Millones;Dólar estadounidense;0
2012-1;47;Israel;Millones;Dólar estadounidense;1,268218974
2012-1;48;Italia;Millones;Dólar estadounidense;12,85500857
2012-1;49;Japón;Millones;Dólar estadounidense;13,00057322
2012-1;50;Jordania;Millones;Dólar estadounidense;0
2012-1;51;Kuwait;Millones;Dólar estadounidense;0
2012-1;52;Líbano;Millones;Dólar estadounidense;0
2012-1;53;Liberia;Millones;Dólar estadounidense;0
2012-1;54;Liechtenstein;Millones;Dólar estadounidense;0
2012-1;55;Lituania;Millones;Dólar estadounidense;0
2012-1;56;Luxemburgo;Millones;Dólar estadounidense;80,6010932
2012-1;57;Malasia;Millones;Dólar estadounidense;0,728845991
2012-1;58;México;Millones;Dólar estadounidense;254,599962
2012-1;59;Nicaragua;Millones;Dólar estadounidense;0
2012-1;60;Noruega;Millones;Dólar estadounidense;3,441274643
2012-1;61;Nueva Zelanda;Millones;Dólar estadounidense;0
2012-1;62;Países Bajos;Millones;Dólar estadounidense;156,094163
2012-1;63;Panamá;Millones;Dólar estadounidense;240,3548335
2012-1;64;Paraguay;Millones;Dólar estadounidense;0,06262
2012-1;65;Perú;Millones;Dólar estadounidense;23,46050295
2012-1;66;Portugal;Millones;Dólar estadounidense;0,19651815
2012-1;67;Puerto Rico;Millones;Dólar estadounidense;5,789666
2012-1;69;República Dominicana;Millones;Dólar estadounidense;1,578273869
2012-1;70;Singapur;Millones;Dólar estadounidense;-2,410248601
2012-1;71;Sri Lanka;Millones;Dólar estadounidense;0
2012-1;72;Suecia;Millones;Dólar estadounidense;17,52441213
2012-1;73;Suiza;Millones;Dólar estadounidense;275,6464531
2012-1;74;Sudáfrica;Millones;Dólar estadounidense;0
2012-1;75;Tailandia;Millones;Dólar estadounidense;0
2012-1;76;Taiwán;Millones;Dólar estadounidense;0
2012-1;77;Ucrania;Millones;Dólar estadounidense;0
2012-1;78;Uruguay;Millones;Dólar estadounidense;55,74262029
2012-1;79;Venezuela;Millones;Dólar estadounidense;16,00433296
2012-1;81;Otros Países;Millones;Dólar estadounidense;18,64255522
2012-1;82;Total paises;Millones;Dólar estadounidense;3533,333371
2012-2;1;Afganistán;Millones;Dólar estadounidense;0
2012-2;2;Albania;Millones;Dólar estadounidense;0
2012-2;3;Alemania;Millones;Dólar estadounidense;79,92659053
2012-2;4;Anguilla;Millones;Dólar estadounidense;273,0426309
2012-2;5;Antillas Holandesas;Millones;Dólar estadounidense;6,170618357
2012-2;6;Argentina;Millones;Dólar estadounidense;1,601093329
2012-2;7;Aruba;Millones;Dólar estadounidense;8,786764362
2012-2;8;Australia;Millones;Dólar estadounidense;7,587174023
2012-2;9;Austria;Millones;Dólar estadounidense;16,27618901
2012-2;10;Bahamas;Millones;Dólar estadounidense;6,937773625
2012-2;11;Barbados;Millones;Dólar estadounidense;119,4246125
2012-2;12;Bélgica;Millones;Dólar estadounidense;3,218448647
2012-2;13;Belice;Millones;Dólar estadounidense;0,11006342
2012-2;14;Bermudas;Millones;Dólar estadounidense;42,33879411
2012-2;15;Bolivia;Millones;Dólar estadounidense;0,72370442
2012-2;16;Brasil;Millones;Dólar estadounidense;67,74877648
2012-2;17;Canadá;Millones;Dólar estadounidense;102,1913596
2012-2;18;Chile;Millones;Dólar estadounidense;128,4645865
2012-2;19;China;Millones;Dólar estadounidense;10,27243634
2012-2;20;Corea del Sur;Millones;Dólar estadounidense;11,74284706
2012-2;21;Chipre;Millones;Dólar estadounidense;1,352796123
2012-2;22;Costa Rica;Millones;Dólar estadounidense;4,952404397
2012-2;23;Cuba;Millones;Dólar estadounidense;0
2012-2;24;Curazao;Millones;Dólar estadounidense;1,032517067
2012-2;25;Dinamarca;Millones;Dólar estadounidense;0,561631191
2012-2;26;Ecuador;Millones;Dólar estadounidense;10,02790096
2012-2;27;El Salvador;Millones;Dólar estadounidense;0,24024952
2012-2;28;Escocia;Millones;Dólar estadounidense;0
2012-2;29;España;Millones;Dólar estadounidense;70,69785081
2012-2;30;Estados Unidos;Millones;Dólar estadounidense;937,0375104
2012-2;31;Finlandia;Millones;Dólar estadounidense;0
2012-2;32;Francia;Millones;Dólar estadounidense;101,6469689
2012-2;33;Gibraltar;Millones;Dólar estadounidense;0
2012-2;34;Grecia;Millones;Dólar estadounidense;0,0899085
2012-2;35;Guatemala;Millones;Dólar estadounidense;1,00710177
2012-2;36;Honduras;Millones;Dólar estadounidense;0,0466
2012-2;37;Hong Kong;Millones;Dólar estadounidense;1,23105
2012-2;38;Hungría;Millones;Dólar estadounidense;0
2012-2;39;Islas Caimán;Millones;Dólar estadounidense;167,5213989
2012-2;40;Islas Vírgenes Británicas;Millones;Dólar estadounidense;124,8063191
2012-2;41;India;Millones;Dólar estadounidense;2,551265096
2012-2;42;Inglaterra;Millones;Dólar estadounidense;527,3537273
2012-2;44;Irán;Millones;Dólar estadounidense;0
2012-2;45;Irlanda?;Millones;Dólar estadounidense;26,20310216
2012-2;46;Isla de Man;Millones;Dólar estadounidense;0
2012-2;47;Israel;Millones;Dólar estadounidense;1,020954256
2012-2;48;Italia;Millones;Dólar estadounidense;13,70033818
2012-2;49;Japón;Millones;Dólar estadounidense;16,04358532
2012-2;50;Jordania;Millones;Dólar estadounidense;0
2012-2;51;Kuwait;Millones;Dólar estadounidense;0
2012-2;52;Líbano;Millones;Dólar estadounidense;0
2012-2;53;Liberia;Millones;Dólar estadounidense;0
2012-2;54;Liechtenstein;Millones;Dólar estadounidense;0
2012-2;55;Lituania;Millones;Dólar estadounidense;0
2012-2;56;Luxemburgo;Millones;Dólar estadounidense;18,47674886
2012-2;57;Malasia;Millones;Dólar estadounidense;0,491970519
2012-2;58;México;Millones;Dólar estadounidense;43,87784369
2012-2;59;Nicaragua;Millones;Dólar estadounidense;0
2012-2;60;Noruega;Millones;Dólar estadounidense;9,525214197
2012-2;61;Nueva Zelanda;Millones;Dólar estadounidense;0
2012-2;62;Países Bajos;Millones;Dólar estadounidense;174,043172
2012-2;63;Panamá;Millones;Dólar estadounidense;783,4831671
2012-2;64;Paraguay;Millones;Dólar estadounidense;0,13026
2012-2;65;Perú;Millones;Dólar estadounidense;93,45678233
2012-2;66;Portugal;Millones;Dólar estadounidense;0,293758874
2012-2;67;Puerto Rico;Millones;Dólar estadounidense;0,623766
2012-2;69;República Dominicana;Millones;Dólar estadounidense;6,119013975
2012-2;70;Singapur;Millones;Dólar estadounidense;-2,046595428
2012-2;71;Sri Lanka;Millones;Dólar estadounidense;0
2012-2;72;Suecia;Millones;Dólar estadounidense;4,457869095
2012-2;73;Suiza;Millones;Dólar estadounidense;156,1032778
2012-2;74;Sudáfrica;Millones;Dólar estadounidense;0
2012-2;75;Tailandia;Millones;Dólar estadounidense;0
2012-2;76;Taiwán;Millones;Dólar estadounidense;0
2012-2;77;Ucrania;Millones;Dólar estadounidense;0
2012-2;78;Uruguay;Millones;Dólar estadounidense;20,43633097
2012-2;79;Venezuela;Millones;Dólar estadounidense;39,80297228
2012-2;81;Otros Países;Millones;Dólar estadounidense;7,013061338
2012-2;82;Total paises;Millones;Dólar estadounidense;4233,159015
2012-3;1;Afganistán;Millones;Dólar estadounidense;0
2012-3;2;Albania;Millones;Dólar estadounidense;0
2012-3;3;Alemania;Millones;Dólar estadounidense;149,9506848
2012-3;4;Anguilla;Millones;Dólar estadounidense;259,3863351
2012-3;5;Antillas Holandesas;Millones;Dólar estadounidense;-1,622562461
2012-3;6;Argentina;Millones;Dólar estadounidense;1,372401381
2012-3;7;Aruba;Millones;Dólar estadounidense;-6,639566825
2012-3;8;Australia;Millones;Dólar estadounidense;2,798890871
2012-3;9;Austria;Millones;Dólar estadounidense;8,567484384
2012-3;10;Bahamas;Millones;Dólar estadounidense;9,888375246
2012-3;11;Barbados;Millones;Dólar estadounidense;76,61833182
2012-3;12;Bélgica;Millones;Dólar estadounidense;98,45587809
2012-3;13;Belice;Millones;Dólar estadounidense;0,664646
2012-3;14;Bermudas;Millones;Dólar estadounidense;-82,30395659
2012-3;15;Bolivia;Millones;Dólar estadounidense;0,23533196
2012-3;16;Brasil;Millones;Dólar estadounidense;271,6294125
2012-3;17;Canadá;Millones;Dólar estadounidense;67,2593102
2012-3;18;Chile;Millones;Dólar estadounidense;22,30002684
2012-3;19;China;Millones;Dólar estadounidense;10,9228634
2012-3;20;Corea del Sur;Millones;Dólar estadounidense;8,285365414
2012-3;21;Chipre;Millones;Dólar estadounidense;2,028320276
2012-3;22;Costa Rica;Millones;Dólar estadounidense;0,527320952
2012-3;23;Cuba;Millones;Dólar estadounidense;0
2012-3;24;Curazao;Millones;Dólar estadounidense;-1,697227056
2012-3;25;Dinamarca;Millones;Dólar estadounidense;0,457340251
2012-3;26;Ecuador;Millones;Dólar estadounidense;10,76673087
2012-3;27;El Salvador;Millones;Dólar estadounidense;0,19774332
2012-3;28;Escocia;Millones;Dólar estadounidense;0
2012-3;29;España;Millones;Dólar estadounidense;-53,24545441
2012-3;30;Estados Unidos;Millones;Dólar estadounidense;523,5514525
2012-3;31;Finlandia;Millones;Dólar estadounidense;0
2012-3;32;Francia;Millones;Dólar estadounidense;93,58572584
2012-3;33;Gibraltar;Millones;Dólar estadounidense;0
2012-3;34;Grecia;Millones;Dólar estadounidense;0,0399545
2012-3;35;Guatemala;Millones;Dólar estadounidense;0,98537182
2012-3;36;Honduras;Millones;Dólar estadounidense;0,20903088
2012-3;37;Hong Kong;Millones;Dólar estadounidense;4,61953647
2012-3;38;Hungría;Millones;Dólar estadounidense;0
2012-3;39;Islas Caimán;Millones;Dólar estadounidense;108,4282439
2012-3;40;Islas Vírgenes Británicas;Millones;Dólar estadounidense;116,0509732
2012-3;41;India;Millones;Dólar estadounidense;1,286613085
2012-3;42;Inglaterra;Millones;Dólar estadounidense;281,7896335
2012-3;44;Irán;Millones;Dólar estadounidense;0
2012-3;45;Irlanda?;Millones;Dólar estadounidense;0,350444652
2012-3;46;Isla de Man;Millones;Dólar estadounidense;0
2012-3;47;Israel;Millones;Dólar estadounidense;0,413812048
2012-3;48;Italia;Millones;Dólar estadounidense;9,634685027
2012-3;49;Japón;Millones;Dólar estadounidense;9,239500308
2012-3;50;Jordania;Millones;Dólar estadounidense;0
2012-3;51;Kuwait;Millones;Dólar estadounidense;0
2012-3;52;Líbano;Millones;Dólar estadounidense;0
2012-3;53;Liberia;Millones;Dólar estadounidense;0
2012-3;54;Liechtenstein;Millones;Dólar estadounidense;0
2012-3;55;Lituania;Millones;Dólar estadounidense;0
2012-3;56;Luxemburgo;Millones;Dólar estadounidense;175,7510093
2012-3;57;Malasia;Millones;Dólar estadounidense;7,30880385
2012-3;58;México;Millones;Dólar estadounidense;280,1274589
2012-3;59;Nicaragua;Millones;Dólar estadounidense;0
2012-3;60;Noruega;Millones;Dólar estadounidense;1,919925655
2012-3;61;Nueva Zelanda;Millones;Dólar estadounidense;0
2012-3;62;Países Bajos;Millones;Dólar estadounidense;164,0177193
2012-3;63;Panamá;Millones;Dólar estadounidense;437,3733352
2012-3;64;Paraguay;Millones;Dólar estadounidense;0,1079
2012-3;65;Perú;Millones;Dólar estadounidense;19,00966822
2012-3;66;Portugal;Millones;Dólar estadounidense;0,91961492
2012-3;67;Puerto Rico;Millones;Dólar estadounidense;0,383536
2012-3;69;República Dominicana;Millones;Dólar estadounidense;0,304983183
2012-3;70;Singapur;Millones;Dólar estadounidense;0,279837304
2012-3;71;Sri Lanka;Millones;Dólar estadounidense;0
2012-3;72;Suecia;Millones;Dólar estadounidense;53,90442783
2012-3;73;Suiza;Millones;Dólar estadounidense;100,114984
2012-3;74;Sudáfrica;Millones;Dólar estadounidense;0
2012-3;75;Tailandia;Millones;Dólar estadounidense;0
2012-3;76;Taiwán;Millones;Dólar estadounidense;0
2012-3;77;Ucrania;Millones;Dólar estadounidense;0
2012-3;78;Uruguay;Millones;Dólar estadounidense;27,86314494
2012-3;79;Venezuela;Millones;Dólar estadounidense;34,84133134
2012-3;81;Otros Países;Millones;Dólar estadounidense;13,9181778
2012-3;82;Total paises;Millones;Dólar estadounidense;3327,758909
2012-4;1;Afganistán;Millones;Dólar estadounidense;0
2012-4;2;Albania;Millones;Dólar estadounidense;0
2012-4;3;Alemania;Millones;Dólar estadounidense;14,33213223
2012-4;4;Anguilla;Millones;Dólar estadounidense;-39,96358564
2012-4;5;Antillas Holandesas;Millones;Dólar estadounidense;-0,156253761
2012-4;6;Argentina;Millones;Dólar estadounidense;13,75290364
2012-4;7;Aruba;Millones;Dólar estadounidense;4,640838341
2012-4;8;Australia;Millones;Dólar estadounidense;2,76662264
2012-4;9;Austria;Millones;Dólar estadounidense;138,99087
2012-4;10;Bahamas;Millones;Dólar estadounidense;19,94664628
2012-4;11;Barbados;Millones;Dólar estadounidense;79,66440941
2012-4;12;Bélgica;Millones;Dólar estadounidense;29,65267186
2012-4;13;Belice;Millones;Dólar estadounidense;1,0399
2012-4;14;Bermudas;Millones;Dólar estadounidense;51,8728148
2012-4;15;Bolivia;Millones;Dólar estadounidense;0,10920911
2012-4;16;Brasil;Millones;Dólar estadounidense;-5,411954492
2012-4;17;Canadá;Millones;Dólar estadounidense;51,89363652
2012-4;18;Chile;Millones;Dólar estadounidense;2665,391648
2012-4;19;China;Millones;Dólar estadounidense;4,481270012
2012-4;20;Corea del Sur;Millones;Dólar estadounidense;12,22007453
2012-4;21;Chipre;Millones;Dólar estadounidense;-0,291506572
2012-4;22;Costa Rica;Millones;Dólar estadounidense;10,97789826
2012-4;23;Cuba;Millones;Dólar estadounidense;0
2012-4;24;Curazao;Millones;Dólar estadounidense;-2,719463674
2012-4;25;Dinamarca;Millones;Dólar estadounidense;0,764221518
2012-4;26;Ecuador;Millones;Dólar estadounidense;8,960042006
2012-4;27;El Salvador;Millones;Dólar estadounidense;0,14345275
2012-4;28;Escocia;Millones;Dólar estadounidense;0
2012-4;29;España;Millones;Dólar estadounidense;359,3264295
2012-4;30;Estados Unidos;Millones;Dólar estadounidense;528,6509152
2012-4;31;Finlandia;Millones;Dólar estadounidense;0
2012-4;32;Francia;Millones;Dólar estadounidense;35,65050099
2012-4;33;Gibraltar;Millones;Dólar estadounidense;0
2012-4;34;Grecia;Millones;Dólar estadounidense;0,23866894
2012-4;35;Guatemala;Millones;Dólar estadounidense;0,3399939
2012-4;36;Honduras;Millones;Dólar estadounidense;0,03083
2012-4;37;Hong Kong;Millones;Dólar estadounidense;0,23351009
2012-4;38;Hungría;Millones;Dólar estadounidense;0
2012-4;39;Islas Caimán;Millones;Dólar estadounidense;157,4170609
2012-4;40;Islas Vírgenes Británicas;Millones;Dólar estadounidense;171,6141318
2012-4;41;India;Millones;Dólar estadounidense;0,772215619
2012-4;42;Inglaterra;Millones;Dólar estadounidense;262,805965
2012-4;44;Irán;Millones;Dólar estadounidense;0
2012-4;45;Irlanda?;Millones;Dólar estadounidense;-1,826889576
2012-4;46;Isla de Man;Millones;Dólar estadounidense;0
2012-4;47;Israel;Millones;Dólar estadounidense;1,05428582
2012-4;48;Italia;Millones;Dólar estadounidense;-23,79103235
2012-4;49;Japón;Millones;Dólar estadounidense;22,78688903
2012-4;50;Jordania;Millones;Dólar estadounidense;0
2012-4;51;Kuwait;Millones;Dólar estadounidense;0
2012-4;52;Líbano;Millones;Dólar estadounidense;0
2012-4;53;Liberia;Millones;Dólar estadounidense;0
2012-4;54;Liechtenstein;Millones;Dólar estadounidense;0
2012-4;55;Lituania;Millones;Dólar estadounidense;0
2012-4;56;Luxemburgo;Millones;Dólar estadounidense;89,6106141
2012-4;57;Malasia;Millones;Dólar estadounidense;2,284930938
2012-4;58;México;Millones;Dólar estadounidense;270,8862241
2012-4;59;Nicaragua;Millones;Dólar estadounidense;0
2012-4;60;Noruega;Millones;Dólar estadounidense;2,005898536
2012-4;61;Nueva Zelanda;Millones;Dólar estadounidense;0
2012-4;62;Países Bajos;Millones;Dólar estadounidense;-2285,899179
2012-4;63;Panamá;Millones;Dólar estadounidense;934,250606
2012-4;64;Paraguay;Millones;Dólar estadounidense;0,07436046
2012-4;65;Perú;Millones;Dólar estadounidense;23,32280196
2012-4;66;Portugal;Millones;Dólar estadounidense;3,79737995
2012-4;67;Puerto Rico;Millones;Dólar estadounidense;0,33006
