Año(aaaa)-Trimestre(t);Orden del país; País;Unidad multiplicadora;Moneda (USD);Valor
2007-2;9;Austria;Millones;Dólar estadounidense;0,584717984
2007-2;10;Bahamas;Millones;Dólar estadounidense;5,136534211
2007-2;11;Barbados;Millones;Dólar estadounidense;9,970179211
2007-2;12;Bélgica;Millones;Dólar estadounidense;0,984206219
2007-2;13;Belice;Millones;Dólar estadounidense;1,770373
2007-2;14;Bermudas;Millones;Dólar estadounidense;46,83298724
2007-2;15;Bolivia;Millones;Dólar estadounidense;7,346837559
2007-2;16;Brasil;Millones;Dólar estadounidense;8,254417285
2007-2;17;Canadá;Millones;Dólar estadounidense;1,857664147
2007-2;18;Chile;Millones;Dólar estadounidense;4,692058907
2007-2;19;China;Millones;Dólar estadounidense;0,333912538
2007-2;20;Corea del Sur;Millones;Dólar estadounidense;0,555580539
2007-2;21;Chipre;Millones;Dólar estadounidense;-0,181586
2007-2;22;Costa Rica;Millones;Dólar estadounidense;1,923033741
2007-2;23;Cuba;Millones;Dólar estadounidense;0,105
2007-2;24;Curazao;Millones;Dólar estadounidense;0
2007-2;25;Dinamarca;Millones;Dólar estadounidense;2,047747954
2007-2;26;Ecuador;Millones;Dólar estadounidense;2,072388304
2007-2;27;El Salvador;Millones;Dólar estadounidense;0,306377
2007-2;28;Escocia;Millones;Dólar estadounidense;0
2007-2;29;España;Millones;Dólar estadounidense;88,05885284
2007-2;30;Estados Unidos;Millones;Dólar estadounidense;975,1601008
2007-2;31;Finlandia;Millones;Dólar estadounidense;0,000141
2007-2;32;Francia;Millones;Dólar estadounidense;167,3287707
2007-2;33;Gibraltar;Millones;Dólar estadounidense;0
2007-2;34;Grecia;Millones;Dólar estadounidense;0
2007-2;35;Guatemala;Millones;Dólar estadounidense;0,139132
2007-2;36;Honduras;Millones;Dólar estadounidense;0,001152
2007-2;37;Hong Kong;Millones;Dólar estadounidense;0
2007-2;38;Hungría;Millones;Dólar estadounidense;0
2007-2;39;Islas Caimán;Millones;Dólar estadounidense;83,41869741
2007-2;40;Islas Vírgenes Británicas;Millones;Dólar estadounidense;59,40481209
2007-2;41;India;Millones;Dólar estadounidense;0,009971
2007-2;42;Inglaterra;Millones;Dólar estadounidense;564,7969191
2007-2;44;Irán;Millones;Dólar estadounidense;0
2007-2;45;Irlanda?;Millones;Dólar estadounidense;0,314939505
2007-2;46;Isla de Man;Millones;Dólar estadounidense;0
2007-2;47;Israel;Millones;Dólar estadounidense;0,192726777
2007-2;48;Italia;Millones;Dólar estadounidense;4,479056899
2007-2;49;Japón;Millones;Dólar estadounidense;5,618900266
2007-2;50;Jordania;Millones;Dólar estadounidense;0
2007-2;51;Kuwait;Millones;Dólar estadounidense;0
2007-2;52;Líbano;Millones;Dólar estadounidense;0,099972
2007-2;53;Liberia;Millones;Dólar estadounidense;0
2007-2;54;Liechtenstein;Millones;Dólar estadounidense;0
2007-2;55;Lituania;Millones;Dólar estadounidense;0,184387
2007-2;56;Luxemburgo;Millones;Dólar estadounidense;19,82617675
2007-2;57;Malasia;Millones;Dólar estadounidense;0
2007-2;58;México;Millones;Dólar estadounidense;45,2090968
2007-2;59;Nicaragua;Millones;Dólar estadounidense;0
2007-2;60;Noruega;Millones;Dólar estadounidense;8,513128759
2007-2;61;Nueva Zelanda;Millones;Dólar estadounidense;0,21796
2007-2;62;Países Bajos;Millones;Dólar estadounidense;-510,1612097
2007-2;63;Panamá;Millones;Dólar estadounidense;192,7933578
2007-2;64;Paraguay;Millones;Dólar estadounidense;0
2007-2;65;Perú;Millones;Dólar estadounidense;4,932044434
2007-2;66;Portugal;Millones;Dólar estadounidense;3,034600241
2007-2;67;Puerto Rico;Millones;Dólar estadounidense;0,1754
2007-2;69;República Dominicana;Millones;Dólar estadounidense;-0,173941302
2007-2;70;Singapur;Millones;Dólar estadounidense;0
2007-2;71;Sri Lanka;Millones;Dólar estadounidense;0
2007-2;72;Suecia;Millones;Dólar estadounidense;4,885357913
2007-2;73;Suiza;Millones;Dólar estadounidense;24,78158319
2007-2;74;Sudáfrica;Millones;Dólar estadounidense;0
2007-2;75;Tailandia;Millones;Dólar estadounidense;0
2007-2;76;Taiwán;Millones;Dólar estadounidense;0
2007-2;77;Ucrania;Millones;Dólar estadounidense;0
2007-2;78;Uruguay;Millones;Dólar estadounidense;5,055732429
2007-2;79;Venezuela;Millones;Dólar estadounidense;23,33264246
2007-2;81;Otros Países;Millones;Dólar estadounidense;-5,141917213
2007-2;82;Total paises;Millones;Dólar estadounidense;2228,736352
2007-3;1;Afganistán;Millones;Dólar estadounidense;0
2007-3;2;Albania;Millones;Dólar estadounidense;0
2007-3;3;Alemania;Millones;Dólar estadounidense;6,173572481
2007-3;4;Anguilla;Millones;Dólar estadounidense;305,633627
2007-3;5;Antillas Holandesas;Millones;Dólar estadounidense;0,219873955
2007-3;6;Argentina;Millones;Dólar estadounidense;0,32343271
2007-3;7;Aruba;Millones;Dólar estadounidense;0,160013527
2007-3;8;Australia;Millones;Dólar estadounidense;3,449388994
2007-3;9;Austria;Millones;Dólar estadounidense;0,288658204
2007-3;10;Bahamas;Millones;Dólar estadounidense;3,334699772
